Date,Equal_Weighted_Value,Custom_Weighted_Value
2020-03-02,51494.79714254238,53491.07961610086
2020-03-03,49525.36677994939,51497.6330177036
2020-03-04,51438.729016019926,53597.05239036911
2020-03-05,49622.75230573079,51805.68376131533
2020-03-06,48696.23362138695,50872.485076143515
2020-03-09,45310.75821117355,47198.56228486893
2020-03-10,48169.05935589276,50327.552637478846
2020-03-11,46074.768869797386,48262.30634977965
2020-03-12,41841.4269946185,43714.15545784694
2020-03-13,46784.13802487307,49005.189634848175
2020-03-16,40665.102423178265,42545.87104527775
2020-03-17,42946.42890506615,44889.505030761655
2020-03-18,41649.32240321482,43557.393888569924
2020-03-19,42031.93393655362,43769.02305073243
2020-03-20,40068.50062810044,41544.27477498736
2020-03-23,39475.49318938693,40869.1558030984
2020-03-24,42938.87330534493,44622.09601154934
2020-03-25,42363.41735270298,44146.82731105655
2020-03-26,44775.58476339431,46628.14129493323
2020-03-27,42868.9538469792,44666.21859900162
2020-03-30,44745.875954123665,46536.17527719284
2020-03-31,44684.364276479035,46396.11411594028
2020-04-01,42604.54952814376,44203.3066043855
2020-04-02,43328.0095630015,44966.49430566969
2020-04-03,42672.849348348405,44323.246668438434
2020-04-06,46149.52620561001,47979.54626619708
2020-04-07,45797.48234511272,47541.555544642695
2020-04-08,46656.84040953801,48489.53762050659
2020-04-09,46764.46942027662,48661.92140504057
2020-04-13,47154.960342209306,49203.15489765431
2020-04-14,49438.47381809714,51621.72463324003
2020-04-15,49012.105621140676,51159.169414443335
2020-04-16,49634.06656904782,51824.22643261633
2020-04-17,49839.175469085225,51787.43401058066
2020-04-20,48933.19567955388,50797.46342548292
2020-04-21,47120.826306061186,48987.48095375468
2020-04-22,48706.031285292556,50565.973790065094
2020-04-23,48611.24450293586,50386.94217234713
2020-04-24,49444.12610204114,51433.3229232588
2020-04-27,49334.45980373286,51361.05109187114
2020-04-28,48172.075067932135,50260.088236726704
2020-04-29,50847.69864260907,52655.822259783185
2020-04-30,51432.383538955946,53405.18629070299
2020-05-01,50338.46148248863,52327.443051688606
2020-05-04,51057.37704235403,53125.94259676787
2020-05-05,51831.56772777282,53905.52285430914
2020-05-06,52133.97401268556,54314.153968820596
2020-05-07,52722.71357518172,54882.272001373174
2020-05-08,53437.677758352795,55752.99168181774
2020-05-11,54164.34791967778,56533.2639908277
2020-05-12,53183.59820360092,55597.199308270814
2020-05-13,52355.32554759688,54792.218363750275
2020-05-14,52648.676412230394,55101.1818191811
2020-05-15,53010.111701923845,55310.68397843293
2020-05-18,53751.24310248617,56218.464273737765
2020-05-19,53384.25584524006,55851.800022474956
2020-05-20,54427.19205070809,56909.812770472
2020-05-21,54042.99166202081,56473.13614983216
2020-05-22,54249.946541959216,56714.43588429657
2020-05-26,54040.31299237145,56407.735870772245
2020-05-27,54128.79352432581,56544.3376824255
